archivo,columna,tipo,unidad,rango_admisible,codificacion_faltantes,procedencia
datos_crudos/juez3.csv,Verificabilidad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Correccion_fuente(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Consistencia_interna(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/asignacion_brazo_items.csv,Item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,"Derivado de la tabla de desciego, conservada fuera del repositorio publico"
datos_crudos/asignacion_brazo_items.csv,Origen,categorico,n/a,Humano | LLM,no se admiten,Brazo del cuasi-experimento al que pertenece el item
datos_procesados/evaluacion_ciega_formato_largo.csv,evaluador,categorico,n/a,juez1 | juez2 | juez3,no se admiten,Generado por scripts/etapa1_formato_largo.py
datos_procesados/evaluacion_ciega_formato_largo.csv,requisito,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego del requisito evaluado
datos_procesados/evaluacion_ciega_formato_largo.csv,orden_presentacion,entero,posicion,1 a 51,no se admiten,Posicion del item en el paquete aleatorizado entregado a los tres jueces
datos_procesados/evaluacion_ciega_formato_largo.csv,brazo,categorico,n/a,Humano | LLM,no se admiten,Union con asignacion_brazo_items.csv
datos_procesados/evaluacion_ciega_formato_largo.csv,criterio,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,Dimension de la rubrica de evaluacion
datos_procesados/evaluacion_ciega_formato_largo.csv,puntuacion,entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
resultados/acuerdo_interevaluador_ic.csv,criterio,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,Generado por scripts/etapa2_acuerdo_ic.py
resultados/acuerdo_interevaluador_ic.csv,medida,categorico,n/a,Kappa de Cohen con ponderacion lineal | Kappa de Fleiss,no se admiten,Coeficiente de acuerdo aplicado
resultados/acuerdo_interevaluador_ic.csv,jueces,categorico,n/a,juez1-juez2 | juez1-juez3 | juez2-juez3 | los tres,no se admiten,"Par de evaluadores, o los tres para Fleiss"
resultados/acuerdo_interevaluador_ic.csv,n_items,entero,items,51,no se admiten,Numero de items sobre los que se calcula el coeficiente
resultados/acuerdo_interevaluador_ic.csv,valor,decimal,coeficiente kappa,-1 a 1,no se admiten,Calculado sobre evaluacion_ciega_formato_largo.csv
resultados/acuerdo_interevaluador_ic.csv,IC95_inferior,decimal,coeficiente kappa,-1 a 1,no se admiten,"Percentil 2,5 del bootstrap de items"
resultados/acuerdo_interevaluador_ic.csv,IC95_superior,decimal,coeficiente kappa,-1 a 1,no se admiten,"Percentil 97,5 del bootstrap de items"
resultados/acuerdo_interevaluador_ic.csv,n_bootstrap,entero,replicas,10000,no se admiten,Numero de remuestreos
resultados/acuerdo_interevaluador_ic.csv,semilla,entero,n/a,20260802,no se admiten,Semilla fijada para que el intervalo sea reproducible
datos_crudos/respuestas_cuestionario.csv,Marca temporal,marca temporal,fecha y hora,n/a,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,0. ¿Aceptas que tus respuestas anónimas se usen con fines académicos de este proyecto?,categorico,n/a,Si,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,1. ¿A qué nivel estás cursando actualmente?,categorico,n/a,1.º – 2.º semestre | 3.º – 4.º semestre | 45 | 5.º – 6.º semestre | 7.º – 8.º semestre | 9.º – 10.º semestre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,2. ¿Cuántas horas a la semana pasas en aulas de la FCC?,categorico,n/a,1-4 | 2-5 | 3-6 | 4-7,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,3. ¿Desde qué dispositivo consultarías el estado de un aula?,categorico,n/a,Celular | Laptop | Tablet,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,4.  Temperatura incómoda en el aula,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,5.  Proyector dañado o sin señal,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,6.   Conflicto de &quot;aula ocupada&quot; cuando no debería estarlo,categorico,n/a,46 | A veces | Frecuentemente | Nunca | Rara vez,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,7.  Wi-Fi fallando durante clase,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,8.  Interrupción de clase por mantenimiento,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,9. Recibir notificación de un problema antes de llegar al aula,entero ordinal,escala de la pregunta,1 a 5 observado,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,10.  Ver en tiempo real qué aulas están libres,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,11.  Que el aire acondicionado se ajuste automáticamente,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,12.  Poder reportar una falla desde el celular,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,13.  Consultar el historial de fallas de un aula,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,14.  Recibir alerta si cambia el aula de último momento,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,15.  Ver el estado de conectividad antes de una clase virtual,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,16. Que el sistema prediga fallas antes de que ocurran,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,16.  ¿Qué tan importante es que el sistema te explique por qué predijo una falla?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,18.   ¿Qué tipo de explicación preferirías?,categorico,n/a,"Ninguna, solo la alerta | Un detalle técnico | Un ejemplo de un caso anterior | Una frase simple",celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,19.  ¿Qué tan cómodo(a) estarías con que el sistema use las cámaras existentes para saber si el aula está ocupada?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,20.  ¿Quién debería poder ver tus datos de uso del sistema?,categorico,n/a,Cualquier persona de la facultad | Docentes y administradores | Nadie | Solo administradores | Solo yo,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,21.  ¿Qué tan importante es poder corregir o eliminar tus datos?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"22. Si el sistema te avisa automáticamente ante una falla, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"23.  Si el sistema NO te avisa y debes enterarte por tu cuenta, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"24.  Si puedes ver la disponibilidad de aulas en tiempo real, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"25.  Si NO puedes verla y debes preguntar o ir a revisar, ¿cómo te sentirías?",categorico,n/a,64 | Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"26.  Si el aire acondicionado se ajusta automáticamente según la ocupación, ¿cómo te sentirías?",categorico,n/a,7 valores distintos,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,"27.  Si el aire acondicionado NO se ajusta automáticamente según la ocupación, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,28.  ¿Usarías este sistema si estuviera disponible hoy?,categorico,n/a,"No estoy seguro | Probablemente no | Probablemente sí | Sí, seguro",celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/respuestas_cuestionario.csv,29.  ¿Qué problema con las aulas no cubrimos en este cuestionario?,categorico,n/a,13 valores distintos,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 32 registros anonimos, uno incompleto"
datos_crudos/codificacion_tematica.csv,Fragmento,texto,n/a,libre,no se admiten,"Fragmento literal de la transcripcion anonimizada; Copia identica de 02_Evidencias/Codificacion_Tematica/codificacion_tematica.csv, comprobada por la etapa integridad"
datos_crudos/codificacion_tematica.csv,Codigo,categorico,n/a,50 codigos tematicos,no se admiten,Codigo asignado al fragmento en la codificacion tematica
datos_crudos/codificacion_tematica.csv,Categoria,categorico,n/a,12 categorias,no se admiten,Categoria que agrupa el codigo
datos_crudos/codificacion_tematica.csv,Requisito_derivado,texto,n/a,identificadores RF- separados por punto y coma,no se admiten,Requisitos del ERS que se derivan del fragmento
datos_crudos/codificacion_tematica.csv,ID_evidencia,categorico,n/a,EV-01 a EV-25,no se admiten,"Entrevista de la que procede el fragmento; es la unidad de la curva de saturacion"
datos_crudos/codificacion_tematica.csv,Analista_codificador,categorico,n/a,Cedeno A. | Munoz Q. | Sanchez G.,no se admiten,Integrante del equipo que codifico el fragmento
datos_procesados/puntuaciones_consolidadas.csv,juez,categorico,n/a,juez1 | juez2 | juez3,no se admiten,"Hoja de puntuacion de origen; generado por scripts/analisis/analizar_resultados.py, ejecutado por la etapa analisis"
datos_procesados/puntuaciones_consolidadas.csv,item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego del requisito evaluado
datos_procesados/puntuaciones_consolidadas.csv,origen,categorico,n/a,Humano | LLM,no se admiten,Union con datos_crudos/asignacion_brazo_items.csv
datos_procesados/puntuaciones_consolidadas.csv,dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,Dimension de la rubrica de evaluacion
datos_procesados/puntuaciones_consolidadas.csv,puntuacion,decimal,puntos de rubrica,"1.0 a 5.0, valores enteros",no se admiten,Hoja de puntuacion devuelta por la persona evaluadora
resultados/estadisticos/acuerdo_interevaluador.csv,Dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,"Generado por scripts/analisis/analizar_resultados.py, ejecutado por la etapa analisis"
resultados/estadisticos/acuerdo_interevaluador.csv,Cohen_kappa_juez1_juez2,decimal,coeficiente kappa,-1 a 1,no se admiten,Kappa de Cohen con ponderacion lineal entre juez1 y juez2
resultados/estadisticos/acuerdo_interevaluador.csv,Cohen_kappa_juez1_juez3,decimal,coeficiente kappa,-1 a 1,no se admiten,Kappa de Cohen con ponderacion lineal entre juez1 y juez3
resultados/estadisticos/acuerdo_interevaluador.csv,Cohen_kappa_juez2_juez3,decimal,coeficiente kappa,-1 a 1,no se admiten,Kappa de Cohen con ponderacion lineal entre juez2 y juez3
resultados/estadisticos/acuerdo_interevaluador.csv,Fleiss_kappa_3jueces,decimal,coeficiente kappa,-1 a 1,no se admiten,Kappa de Fleiss de los tres jueces a la vez
resultados/estadisticos/analisis_por_item.csv,Dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,"Generado por scripts/analisis/analisis_por_item.py, ejecutado por la etapa analisis"
resultados/estadisticos/analisis_por_item.csv,n_humano,entero,requisitos,25,no se admiten,Requisitos del brazo humano; el requisito es la unidad de analisis
resultados/estadisticos/analisis_por_item.csv,n_llm,entero,requisitos,26,no se admiten,Requisitos del brazo del modelo de lenguaje
resultados/estadisticos/analisis_por_item.csv,Media_Humano,decimal,puntos de rubrica,1 a 5,no se admiten,"Media por requisito del brazo humano, promediando los tres jueces"
resultados/estadisticos/analisis_por_item.csv,Media_LLM,decimal,puntos de rubrica,1 a 5,no se admiten,"Media por requisito del brazo del modelo, promediando los tres jueces"
resultados/estadisticos/analisis_por_item.csv,Prueba,categorico,n/a,U de Mann-Whitney | t de Welch,no se admiten,Prueba aplicada segun los supuestos de la dimension
resultados/estadisticos/analisis_por_item.csv,Estadistico,decimal,n/a,libre,no se admiten,Valor del estadistico de la prueba
resultados/estadisticos/analisis_por_item.csv,p_valor,decimal,probabilidad,0 a 1,no se admiten,Valor p sin ajustar
resultados/estadisticos/analisis_por_item.csv,Tipo_efecto,categorico,n/a,delta de Cliff | g de Hedges,no se admiten,Medida del tamano del efecto
resultados/estadisticos/analisis_por_item.csv,Tamano_efecto,decimal,n/a,-1 a 1 para delta de Cliff; libre para g de Hedges,no se admiten,Valor puntual del tamano del efecto
resultados/estadisticos/analisis_por_item.csv,IC95_inferior,decimal,n/a,libre,no se admiten,Limite inferior del intervalo de confianza del 95 %
resultados/estadisticos/analisis_por_item.csv,IC95_superior,decimal,n/a,libre,no se admiten,Limite superior del intervalo de confianza del 95 %
resultados/estadisticos/analisis_por_item.csv,p_ajustado_holm,decimal,probabilidad,0 a 1,no se admiten,Valor p tras el ajuste de Holm-Bonferroni
resultados/estadisticos/analisis_por_item.csv,significativo_alpha_05,categorico,n/a,Si | No,no se admiten,Si el contraste es significativo al 5 % tras el ajuste
resultados/estadisticos/efectos.csv,Dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,"Generado por scripts/analisis/analizar_resultados.py, etapa efectos, ejecutado por la etapa analisis"
resultados/estadisticos/efectos.csv,Unidad_analisis,categorico,n/a,requisito,no se admiten,"Unidad sobre la que se calcula el efecto: el requisito, promediando los tres jueces (desviacion 7)"
resultados/estadisticos/efectos.csv,n_humano,entero,requisitos,25,no se admiten,Requisitos del brazo humano
resultados/estadisticos/efectos.csv,n_llm,entero,requisitos,26,no se admiten,Requisitos del brazo del modelo de lenguaje
resultados/estadisticos/efectos.csv,n_pares,texto,pares,NA,no se admiten,"Pares efectivos sobre los que se estima el efecto. Vale NA porque el efecto compara 25 requisitos del equipo con 26 del modelo, muestras independientes y no pares; las unidades efectivas constan en n_humano y n_llm"
resultados/estadisticos/efectos.csv,Diferencia_medias,decimal,puntos de rubrica,-4 a 4,no se admiten,"Media del brazo humano menos media del brazo del modelo, sobre las medias por requisito"
resultados/estadisticos/efectos.csv,Tipo_efecto,categorico,n/a,g de Hedges | delta de Cliff,no se admiten,"g de Hedges si Shapiro-Wilk no rechaza la normalidad en ningun grupo; delta de Cliff en caso contrario"
resultados/estadisticos/efectos.csv,Valor,decimal,n/a,-1 a 1 para delta de Cliff; libre para g de Hedges,no se admiten,Valor puntual del tamano del efecto
resultados/estadisticos/efectos.csv,IC95_inferior,decimal,n/a,libre,no se admiten,"Limite inferior del intervalo de confianza del 95 % por bootstrap estratificado"
resultados/estadisticos/efectos.csv,IC95_superior,decimal,n/a,libre,no se admiten,"Limite superior del intervalo de confianza del 95 % por bootstrap estratificado"
resultados/estadisticos/efectos.csv,interpretable,categorico,n/a,si | no,no se admiten,"Calculado por la etapa efectos, no escrito a mano: si cuando el efecto descansa en al menos 10 unidades (pares si el calculo es apareado; si no, las del grupo menor), el intervalo es finito y no degenerado y, para el delta de Cliff, no cubre el recorrido entero [-1, 1]"
resultados/estadisticos/efectos.csv,n_bootstrap,entero,replicas,10000,no se admiten,Numero de remuestreos
resultados/estadisticos/efectos.csv,semilla,entero,n/a,20260802,no se admiten,Semilla fijada para que el intervalo sea reproducible
resultados/estadisticos/hipotesis.csv,Dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,"Generado por scripts/analisis/analizar_resultados.py, ejecutado por la etapa analisis"
resultados/estadisticos/hipotesis.csv,Prueba,categorico,n/a,t apareada | Wilcoxon de rangos con signo,no se admiten,Prueba aplicada segun los supuestos de la dimension
resultados/estadisticos/hipotesis.csv,Estadistico_nombre,categorico,n/a,t | W,no se admiten,Nombre del estadistico que reporta la prueba
resultados/estadisticos/hipotesis.csv,Estadistico_valor,decimal,n/a,libre,no se admiten,Valor del estadistico
resultados/estadisticos/hipotesis.csv,p_valor,decimal,probabilidad,0 a 1,no se admiten,Valor p sin ajustar
resultados/estadisticos/hipotesis.csv,p_valor_ajustado_holm,decimal,probabilidad,0 a 1,no se admiten,Valor p tras el ajuste de Holm-Bonferroni por las 5 comparaciones
resultados/estadisticos/hipotesis.csv,significativo_alpha_05_ajustado,booleano,n/a,True | False,no se admiten,Si el contraste es significativo al 5 % tras el ajuste
resultados/estadisticos/power_calculation.csv,Cohen_d_objetivo,decimal,n/a,mayor que 0,no se admiten,"Tamano del efecto que el calculo busca poder detectar; generado por scripts/analisis/power_calculation.py, ejecutado por la etapa analisis"
resultados/estadisticos/power_calculation.csv,alpha,decimal,probabilidad,0 a 1,no se admiten,Nivel de significacion
resultados/estadisticos/power_calculation.csv,potencia_deseada,decimal,probabilidad,0 a 1,no se admiten,Potencia convencional de referencia
resultados/estadisticos/power_calculation.csv,n_necesario,decimal,observaciones apareadas,mayor que 0,no se admiten,"Observaciones necesarias, sin redondear"
resultados/estadisticos/power_calculation.csv,n_necesario_redondeado,entero,observaciones apareadas,mayor que 0,no se admiten,"Observaciones necesarias, redondeadas al entero superior"
resultados/estadisticos/power_calculation.csv,n_actual,entero,jueces,mayor que 0,no se admiten,"Numero de hojas de jueces contado en datos_crudos, no escrito a mano"
resultados/estadisticos/power_calculation.csv,potencia_alcanzada_con_n_actual,decimal,probabilidad,0 a 1,no se admiten,Potencia que alcanza el diseno con las observaciones disponibles
resultados/estadisticos/supuestos.csv,Dimension,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,"Generado por scripts/analisis/analizar_resultados.py, ejecutado por la etapa analisis"
resultados/estadisticos/supuestos.csv,n_jueces,entero,jueces,3,no se admiten,Evaluadores sobre los que se comprueba el supuesto
resultados/estadisticos/supuestos.csv,Shapiro_p_Humano,decimal,probabilidad,0 a 1,no se admiten,Valor p de Shapiro-Wilk en el brazo humano
resultados/estadisticos/supuestos.csv,Shapiro_p_LLM,decimal,probabilidad,0 a 1,no se admiten,Valor p de Shapiro-Wilk en el brazo del modelo
resultados/estadisticos/supuestos.csv,Normal_Humano,booleano,n/a,True | False,no se admiten,Si el brazo humano no rechaza normalidad al 5 %
resultados/estadisticos/supuestos.csv,Normal_LLM,booleano,n/a,True | False,no se admiten,Si el brazo del modelo no rechaza normalidad al 5 %
resultados/estadisticos/supuestos.csv,Levene_estadistico,decimal,n/a,0 o mas,no se admiten,Estadistico de Levene para igualdad de varianzas
resultados/estadisticos/supuestos.csv,Levene_p,decimal,probabilidad,0 a 1,no se admiten,Valor p de la prueba de Levene
resultados/estadisticos/supuestos.csv,Varianzas_homogeneas,booleano,n/a,True | False,no se admiten,Si no se rechaza la igualdad de varianzas al 5 %
resultados/tablas/saturacion_por_entrevista.csv,orden,entero,posicion,1 a 16,no se admiten,"Posicion cronologica de la entrevista; generado por scripts/analisis/curva_saturacion.py sobre datos_crudos/codificacion_tematica.csv, ejecutado por la etapa analisis"
resultados/tablas/saturacion_por_entrevista.csv,id_evidencia,texto,n/a,EV-nn,no se admiten,Identificador de la entrevista
resultados/tablas/saturacion_por_entrevista.csv,fecha,fecha,AAAA-MM-DD,2026-05-14 a 2026-09-03,no se admiten,Fecha de la entrevista
resultados/tablas/saturacion_por_entrevista.csv,codigos_en_entrevista,entero,codigos,0 o mas,no se admiten,Codigos distintos usados en esa entrevista
resultados/tablas/saturacion_por_entrevista.csv,codigos_nuevos,entero,codigos,0 o mas,no se admiten,Codigos que aparecen por primera vez en esa entrevista
resultados/tablas/saturacion_por_entrevista.csv,codigos_acumulados,entero,codigos,0 o mas,no se admiten,Codigos distintos hasta esa entrevista inclusive
resultados/tablas/saturacion_por_entrevista.csv,promedio_nuevos_ultimas_3,decimal,codigos,0 o mas,vacio en las dos primeras filas,Promedio movil de codigos nuevos de esa entrevista y las dos anteriores
resultados/tablas/saturacion_por_entrevista.csv,umbral_5pct_hasta_aqui,decimal,codigos,0 o mas,no se admiten,Cinco por ciento de los codigos acumulados
resultados/tablas/saturacion_por_entrevista.csv,saturado_hasta_aqui,booleano,n/a,True | False,vacio en las dos primeras filas,Si el corpus estaba saturado en ese punto de la serie
